subject,subject_type,predicate,object,object_type,injury_context,sentence,source_url
Kevin De Bruyne,PERSON,represents,Belgium,GPE,True,"Kevin De Bruyne is a professional football player who represented Belgium and played for Manchester City FC during the 2023-24 season. During the Premier League, Kevin De Bruyne suffered an Hamstring strain that affected the hamstring. The injury was",https://en.wikipedia.org/wiki/Kevin_De_Bruyne
Kevin De Bruyne,PERSON,suffersInjury,Kevin De Bruyne Hamstring strain 2023-24,INJURY,True,"Kevin De Bruyne is a professional football player who represented Belgium and played for Manchester City FC during the 2023-24 season. During the Premier League, Kevin De Bruyne suffered an Hamstring strain that affected the hamstring. The injury was",https://en.wikipedia.org/wiki/Kevin_De_Bruyne
Kevin De Bruyne Hamstring strain 2023-24,INJURY,injuryType,HamstringStrain,INJURY_TYPE,True,"Kevin De Bruyne is a professional football player who represented Belgium and played for Manchester City FC during the 2023-24 season. During the Premier League, Kevin De Bruyne suffered an Hamstring strain that affected the hamstring. The injury was",https://en.wikipedia.org/wiki/Kevin_De_Bruyne
Kevin De Bruyne Hamstring strain 2023-24,INJURY,affectsBodyPart,hamstring,BODY_PART,True,"Kevin De Bruyne is a professional football player who represented Belgium and played for Manchester City FC during the 2023-24 season. During the Premier League, Kevin De Bruyne suffered an Hamstring strain that affected the hamstring. The injury was",https://en.wikipedia.org/wiki/Kevin_De_Bruyne
Kevin De Bruyne Hamstring strain 2023-24,INJURY,occuredDuring,Premier League,COMPETITION,True,"Kevin De Bruyne is a professional football player who represented Belgium and played for Manchester City FC during the 2023-24 season. During the Premier League, Kevin De Bruyne suffered an Hamstring strain that affected the hamstring. The injury was",https://en.wikipedia.org/wiki/Kevin_De_Bruyne
Kevin De Bruyne Hamstring strain 2023-24,INJURY,injuryDate,2023-08-11,DATE,True,"Kevin De Bruyne is a professional football player who represented Belgium and played for Manchester City FC during the 2023-24 season. During the Premier League, Kevin De Bruyne suffered an Hamstring strain that affected the hamstring. The injury was",https://en.wikipedia.org/wiki/Kevin_De_Bruyne
Kevin De Bruyne Hamstring strain 2023-24,INJURY,recoveryDays,122,NUMBER,True,"Kevin De Bruyne is a professional football player who represented Belgium and played for Manchester City FC during the 2023-24 season. During the Premier League, Kevin De Bruyne suffered an Hamstring strain that affected the hamstring. The injury was",https://en.wikipedia.org/wiki/Kevin_De_Bruyne
Kevin De Bruyne Hamstring strain 2023-24,INJURY,gamesAbsent,18,NUMBER,True,"Kevin De Bruyne is a professional football player who represented Belgium and played for Manchester City FC during the 2023-24 season. During the Premier League, Kevin De Bruyne suffered an Hamstring strain that affected the hamstring. The injury was",https://en.wikipedia.org/wiki/Kevin_De_Bruyne
Neymar,PERSON,playsFor,Paris Saint-Germain FC,ORG,True,"Neymar is a professional football player who represented Brazil and played for Paris Saint-Germain FC during the 2022-23 season. During the Ligue 1, Neymar suffered an Ankle sprain that affected the ankle. The injury was reported on 2023-02-19 and ke",https://en.wikipedia.org/wiki/Neymar
Neymar,PERSON,represents,Brazil,GPE,True,"Neymar is a professional football player who represented Brazil and played for Paris Saint-Germain FC during the 2022-23 season. During the Ligue 1, Neymar suffered an Ankle sprain that affected the ankle. The injury was reported on 2023-02-19 and ke",https://en.wikipedia.org/wiki/Neymar
Neymar,PERSON,suffersInjury,Neymar Ankle sprain 2022-23,INJURY,True,"Neymar is a professional football player who represented Brazil and played for Paris Saint-Germain FC during the 2022-23 season. During the Ligue 1, Neymar suffered an Ankle sprain that affected the ankle. The injury was reported on 2023-02-19 and ke",https://en.wikipedia.org/wiki/Neymar
Neymar Ankle sprain 2022-23,INJURY,injuryType,SpainedAnkle,INJURY_TYPE,True,"Neymar is a professional football player who represented Brazil and played for Paris Saint-Germain FC during the 2022-23 season. During the Ligue 1, Neymar suffered an Ankle sprain that affected the ankle. The injury was reported on 2023-02-19 and ke",https://en.wikipedia.org/wiki/Neymar
Neymar Ankle sprain 2022-23,INJURY,affectsBodyPart,ankle,BODY_PART,True,"Neymar is a professional football player who represented Brazil and played for Paris Saint-Germain FC during the 2022-23 season. During the Ligue 1, Neymar suffered an Ankle sprain that affected the ankle. The injury was reported on 2023-02-19 and ke",https://en.wikipedia.org/wiki/Neymar
Neymar Ankle sprain 2022-23,INJURY,occuredDuring,Ligue 1,COMPETITION,True,"Neymar is a professional football player who represented Brazil and played for Paris Saint-Germain FC during the 2022-23 season. During the Ligue 1, Neymar suffered an Ankle sprain that affected the ankle. The injury was reported on 2023-02-19 and ke",https://en.wikipedia.org/wiki/Neymar
Neymar Ankle sprain 2022-23,INJURY,injuryDate,2023-02-19,DATE,True,"Neymar is a professional football player who represented Brazil and played for Paris Saint-Germain FC during the 2022-23 season. During the Ligue 1, Neymar suffered an Ankle sprain that affected the ankle. The injury was reported on 2023-02-19 and ke",https://en.wikipedia.org/wiki/Neymar
Neymar Ankle sprain 2022-23,INJURY,recoveryDays,110,NUMBER,True,"Neymar is a professional football player who represented Brazil and played for Paris Saint-Germain FC during the 2022-23 season. During the Ligue 1, Neymar suffered an Ankle sprain that affected the ankle. The injury was reported on 2023-02-19 and ke",https://en.wikipedia.org/wiki/Neymar
Neymar Ankle sprain 2022-23,INJURY,gamesAbsent,20,NUMBER,True,"Neymar is a professional football player who represented Brazil and played for Paris Saint-Germain FC during the 2022-23 season. During the Ligue 1, Neymar suffered an Ankle sprain that affected the ankle. The injury was reported on 2023-02-19 and ke",https://en.wikipedia.org/wiki/Neymar
Santi Cazorla,PERSON,playsFor,Arsenal FC,ORG,True,"Santi Cazorla is a professional football player who represented Spain and played for Arsenal FC during the 2016-17 season. During the Premier League, Santi Cazorla suffered an Achilles tendon rupture that affected the achilles. The injury was reporte",https://en.wikipedia.org/wiki/Santi_Cazorla
Santi Cazorla,PERSON,represents,Spain,GPE,True,"Santi Cazorla is a professional football player who represented Spain and played for Arsenal FC during the 2016-17 season. During the Premier League, Santi Cazorla suffered an Achilles tendon rupture that affected the achilles. The injury was reporte",https://en.wikipedia.org/wiki/Santi_Cazorla
Santi Cazorla,PERSON,suffersInjury,Santi Cazorla Achilles tendon rupture 2016-17,INJURY,True,"Santi Cazorla is a professional football player who represented Spain and played for Arsenal FC during the 2016-17 season. During the Premier League, Santi Cazorla suffered an Achilles tendon rupture that affected the achilles. The injury was reporte",https://en.wikipedia.org/wiki/Santi_Cazorla
Santi Cazorla Achilles tendon rupture 2016-17,INJURY,injuryType,AchillesRupture,INJURY_TYPE,True,"Santi Cazorla is a professional football player who represented Spain and played for Arsenal FC during the 2016-17 season. During the Premier League, Santi Cazorla suffered an Achilles tendon rupture that affected the achilles. The injury was reporte",https://en.wikipedia.org/wiki/Santi_Cazorla
Santi Cazorla Achilles tendon rupture 2016-17,INJURY,affectsBodyPart,achilles,BODY_PART,True,"Santi Cazorla is a professional football player who represented Spain and played for Arsenal FC during the 2016-17 season. During the Premier League, Santi Cazorla suffered an Achilles tendon rupture that affected the achilles. The injury was reporte",https://en.wikipedia.org/wiki/Santi_Cazorla
Santi Cazorla Achilles tendon rupture 2016-17,INJURY,occuredDuring,Premier League,COMPETITION,True,"Santi Cazorla is a professional football player who represented Spain and played for Arsenal FC during the 2016-17 season. During the Premier League, Santi Cazorla suffered an Achilles tendon rupture that affected the achilles. The injury was reporte",https://en.wikipedia.org/wiki/Santi_Cazorla
Santi Cazorla Achilles tendon rupture 2016-17,INJURY,injuryDate,2016-10-19,DATE,True,"Santi Cazorla is a professional football player who represented Spain and played for Arsenal FC during the 2016-17 season. During the Premier League, Santi Cazorla suffered an Achilles tendon rupture that affected the achilles. The injury was reporte",https://en.wikipedia.org/wiki/Santi_Cazorla
Santi Cazorla Achilles tendon rupture 2016-17,INJURY,recoveryDays,636,NUMBER,True,"Santi Cazorla is a professional football player who represented Spain and played for Arsenal FC during the 2016-17 season. During the Premier League, Santi Cazorla suffered an Achilles tendon rupture that affected the achilles. The injury was reporte",https://en.wikipedia.org/wiki/Santi_Cazorla
Santi Cazorla Achilles tendon rupture 2016-17,INJURY,gamesAbsent,86,NUMBER,True,"Santi Cazorla is a professional football player who represented Spain and played for Arsenal FC during the 2016-17 season. During the Premier League, Santi Cazorla suffered an Achilles tendon rupture that affected the achilles. The injury was reporte",https://en.wikipedia.org/wiki/Santi_Cazorla
Michael Owen,PERSON,playsFor,Newcastle United FC,ORG,True,"Michael Owen is a professional football player who represented England and played for Newcastle United FC during the 2006-07 season. During the World Cup, Michael Owen suffered an Anterior cruciate ligament rupture that affected the knee. The injury ",https://en.wikipedia.org/wiki/Michael_Owen
Michael Owen,PERSON,represents,England,GPE,True,"Michael Owen is a professional football player who represented England and played for Newcastle United FC during the 2006-07 season. During the World Cup, Michael Owen suffered an Anterior cruciate ligament rupture that affected the knee. The injury ",https://en.wikipedia.org/wiki/Michael_Owen
Michael Owen,PERSON,suffersInjury,Michael Owen Anterior cruciate ligament rupture 2006-07,INJURY,True,"Michael Owen is a professional football player who represented England and played for Newcastle United FC during the 2006-07 season. During the World Cup, Michael Owen suffered an Anterior cruciate ligament rupture that affected the knee. The injury ",https://en.wikipedia.org/wiki/Michael_Owen
Michael Owen Anterior cruciate ligament rupture 2006-07,INJURY,injuryType,ACLRupture,INJURY_TYPE,True,"Michael Owen is a professional football player who represented England and played for Newcastle United FC during the 2006-07 season. During the World Cup, Michael Owen suffered an Anterior cruciate ligament rupture that affected the knee. The injury ",https://en.wikipedia.org/wiki/Michael_Owen
Michael Owen Anterior cruciate ligament rupture 2006-07,INJURY,affectsBodyPart,knee,BODY_PART,True,"Michael Owen is a professional football player who represented England and played for Newcastle United FC during the 2006-07 season. During the World Cup, Michael Owen suffered an Anterior cruciate ligament rupture that affected the knee. The injury ",https://en.wikipedia.org/wiki/Michael_Owen
Michael Owen Anterior cruciate ligament rupture 2006-07,INJURY,occuredDuring,World Cup,COMPETITION,True,"Michael Owen is a professional football player who represented England and played for Newcastle United FC during the 2006-07 season. During the World Cup, Michael Owen suffered an Anterior cruciate ligament rupture that affected the knee. The injury ",https://en.wikipedia.org/wiki/Michael_Owen
Michael Owen Anterior cruciate ligament rupture 2006-07,INJURY,injuryDate,2006-06-22,DATE,True,"Michael Owen is a professional football player who represented England and played for Newcastle United FC during the 2006-07 season. During the World Cup, Michael Owen suffered an Anterior cruciate ligament rupture that affected the knee. The injury ",https://en.wikipedia.org/wiki/Michael_Owen
Michael Owen Anterior cruciate ligament rupture 2006-07,INJURY,recoveryDays,301,NUMBER,True,"Michael Owen is a professional football player who represented England and played for Newcastle United FC during the 2006-07 season. During the World Cup, Michael Owen suffered an Anterior cruciate ligament rupture that affected the knee. The injury ",https://en.wikipedia.org/wiki/Michael_Owen
Michael Owen Anterior cruciate ligament rupture 2006-07,INJURY,gamesAbsent,40,NUMBER,True,"Michael Owen is a professional football player who represented England and played for Newcastle United FC during the 2006-07 season. During the World Cup, Michael Owen suffered an Anterior cruciate ligament rupture that affected the knee. The injury ",https://en.wikipedia.org/wiki/Michael_Owen
Abou Diaby,PERSON,playsFor,Arsenal FC,ORG,True,"Abou Diaby is a professional football player who represented France and played for Arsenal FC during the 2013-14 season. During the Premier League, Abou Diaby suffered an Muscle tear that affected the thigh. The injury was reported on 2013-09-01 and ",https://en.wikipedia.org/wiki/Abou_Diaby
Abou Diaby,PERSON,represents,France,GPE,True,"Abou Diaby is a professional football player who represented France and played for Arsenal FC during the 2013-14 season. During the Premier League, Abou Diaby suffered an Muscle tear that affected the thigh. The injury was reported on 2013-09-01 and ",https://en.wikipedia.org/wiki/Abou_Diaby
Abou Diaby,PERSON,suffersInjury,Abou Diaby Muscle tear 2013-14,INJURY,True,"Abou Diaby is a professional football player who represented France and played for Arsenal FC during the 2013-14 season. During the Premier League, Abou Diaby suffered an Muscle tear that affected the thigh. The injury was reported on 2013-09-01 and ",https://en.wikipedia.org/wiki/Abou_Diaby
Abou Diaby Muscle tear 2013-14,INJURY,injuryType,MuscleTear,INJURY_TYPE,True,"Abou Diaby is a professional football player who represented France and played for Arsenal FC during the 2013-14 season. During the Premier League, Abou Diaby suffered an Muscle tear that affected the thigh. The injury was reported on 2013-09-01 and ",https://en.wikipedia.org/wiki/Abou_Diaby
Abou Diaby Muscle tear 2013-14,INJURY,affectsBodyPart,thigh,BODY_PART,True,"Abou Diaby is a professional football player who represented France and played for Arsenal FC during the 2013-14 season. During the Premier League, Abou Diaby suffered an Muscle tear that affected the thigh. The injury was reported on 2013-09-01 and ",https://en.wikipedia.org/wiki/Abou_Diaby
Abou Diaby Muscle tear 2013-14,INJURY,occuredDuring,Premier League,COMPETITION,True,"Abou Diaby is a professional football player who represented France and played for Arsenal FC during the 2013-14 season. During the Premier League, Abou Diaby suffered an Muscle tear that affected the thigh. The injury was reported on 2013-09-01 and ",https://en.wikipedia.org/wiki/Abou_Diaby
Abou Diaby Muscle tear 2013-14,INJURY,injuryDate,2013-09-01,DATE,True,"Abou Diaby is a professional football player who represented France and played for Arsenal FC during the 2013-14 season. During the Premier League, Abou Diaby suffered an Muscle tear that affected the thigh. The injury was reported on 2013-09-01 and ",https://en.wikipedia.org/wiki/Abou_Diaby
Abou Diaby Muscle tear 2013-14,INJURY,recoveryDays,214,NUMBER,True,"Abou Diaby is a professional football player who represented France and played for Arsenal FC during the 2013-14 season. During the Premier League, Abou Diaby suffered an Muscle tear that affected the thigh. The injury was reported on 2013-09-01 and ",https://en.wikipedia.org/wiki/Abou_Diaby
Abou Diaby Muscle tear 2013-14,INJURY,gamesAbsent,32,NUMBER,True,"Abou Diaby is a professional football player who represented France and played for Arsenal FC during the 2013-14 season. During the Premier League, Abou Diaby suffered an Muscle tear that affected the thigh. The injury was reported on 2013-09-01 and ",https://en.wikipedia.org/wiki/Abou_Diaby
Luke Shaw,PERSON,playsFor,Manchester United FC,ORG,True,"Luke Shaw is a professional football player who represented England and played for Manchester United FC during the 2015-16 season. During the UEFA Champions League, Luke Shaw suffered an Tibia fracture that affected the tibia. The injury was reported",https://en.wikipedia.org/wiki/Luke_Shaw
Luke Shaw,PERSON,represents,England,GPE,True,"Luke Shaw is a professional football player who represented England and played for Manchester United FC during the 2015-16 season. During the UEFA Champions League, Luke Shaw suffered an Tibia fracture that affected the tibia. The injury was reported",https://en.wikipedia.org/wiki/Luke_Shaw
Luke Shaw,PERSON,suffersInjury,Luke Shaw Tibia fracture 2015-16,INJURY,True,"Luke Shaw is a professional football player who represented England and played for Manchester United FC during the 2015-16 season. During the UEFA Champions League, Luke Shaw suffered an Tibia fracture that affected the tibia. The injury was reported",https://en.wikipedia.org/wiki/Luke_Shaw
Luke Shaw Tibia fracture 2015-16,INJURY,injuryType,Fracture,INJURY_TYPE,True,"Luke Shaw is a professional football player who represented England and played for Manchester United FC during the 2015-16 season. During the UEFA Champions League, Luke Shaw suffered an Tibia fracture that affected the tibia. The injury was reported",https://en.wikipedia.org/wiki/Luke_Shaw
Luke Shaw Tibia fracture 2015-16,INJURY,affectsBodyPart,tibia,BODY_PART,True,"Luke Shaw is a professional football player who represented England and played for Manchester United FC during the 2015-16 season. During the UEFA Champions League, Luke Shaw suffered an Tibia fracture that affected the tibia. The injury was reported",https://en.wikipedia.org/wiki/Luke_Shaw
Luke Shaw Tibia fracture 2015-16,INJURY,occuredDuring,UEFA Champions League,COMPETITION,True,"Luke Shaw is a professional football player who represented England and played for Manchester United FC during the 2015-16 season. During the UEFA Champions League, Luke Shaw suffered an Tibia fracture that affected the tibia. The injury was reported",https://en.wikipedia.org/wiki/Luke_Shaw
Luke Shaw Tibia fracture 2015-16,INJURY,injuryDate,2015-09-15,DATE,True,"Luke Shaw is a professional football player who represented England and played for Manchester United FC during the 2015-16 season. During the UEFA Champions League, Luke Shaw suffered an Tibia fracture that affected the tibia. The injury was reported",https://en.wikipedia.org/wiki/Luke_Shaw
Luke Shaw Tibia fracture 2015-16,INJURY,recoveryDays,289,NUMBER,True,"Luke Shaw is a professional football player who represented England and played for Manchester United FC during the 2015-16 season. During the UEFA Champions League, Luke Shaw suffered an Tibia fracture that affected the tibia. The injury was reported",https://en.wikipedia.org/wiki/Luke_Shaw
Luke Shaw Tibia fracture 2015-16,INJURY,gamesAbsent,42,NUMBER,True,"Luke Shaw is a professional football player who represented England and played for Manchester United FC during the 2015-16 season. During the UEFA Champions League, Luke Shaw suffered an Tibia fracture that affected the tibia. The injury was reported",https://en.wikipedia.org/wiki/Luke_Shaw
Radamel Falcao,PERSON,playsFor,AS Monaco FC,ORG,True,"Radamel Falcao is a professional football player who represented Colombia and played for AS Monaco FC during the 2013-14 season. During the Coupe de France, Radamel Falcao suffered an Anterior cruciate ligament rupture that affected the knee. The inj",https://en.wikipedia.org/wiki/Radamel_Falcao
Radamel Falcao,PERSON,represents,Colombia,GPE,True,"Radamel Falcao is a professional football player who represented Colombia and played for AS Monaco FC during the 2013-14 season. During the Coupe de France, Radamel Falcao suffered an Anterior cruciate ligament rupture that affected the knee. The inj",https://en.wikipedia.org/wiki/Radamel_Falcao
Radamel Falcao,PERSON,suffersInjury,Radamel Falcao Anterior cruciate ligament rupture 2013-14,INJURY,True,"Radamel Falcao is a professional football player who represented Colombia and played for AS Monaco FC during the 2013-14 season. During the Coupe de France, Radamel Falcao suffered an Anterior cruciate ligament rupture that affected the knee. The inj",https://en.wikipedia.org/wiki/Radamel_Falcao
Radamel Falcao Anterior cruciate ligament rupture 2013-14,INJURY,injuryType,ACLRupture,INJURY_TYPE,True,"Radamel Falcao is a professional football player who represented Colombia and played for AS Monaco FC during the 2013-14 season. During the Coupe de France, Radamel Falcao suffered an Anterior cruciate ligament rupture that affected the knee. The inj",https://en.wikipedia.org/wiki/Radamel_Falcao
Radamel Falcao Anterior cruciate ligament rupture 2013-14,INJURY,affectsBodyPart,knee,BODY_PART,True,"Radamel Falcao is a professional football player who represented Colombia and played for AS Monaco FC during the 2013-14 season. During the Coupe de France, Radamel Falcao suffered an Anterior cruciate ligament rupture that affected the knee. The inj",https://en.wikipedia.org/wiki/Radamel_Falcao
Radamel Falcao Anterior cruciate ligament rupture 2013-14,INJURY,occuredDuring,Coupe de France,COMPETITION,True,"Radamel Falcao is a professional football player who represented Colombia and played for AS Monaco FC during the 2013-14 season. During the Coupe de France, Radamel Falcao suffered an Anterior cruciate ligament rupture that affected the knee. The inj",https://en.wikipedia.org/wiki/Radamel_Falcao
Radamel Falcao Anterior cruciate ligament rupture 2013-14,INJURY,injuryDate,2014-01-22,DATE,True,"Radamel Falcao is a professional football player who represented Colombia and played for AS Monaco FC during the 2013-14 season. During the Coupe de France, Radamel Falcao suffered an Anterior cruciate ligament rupture that affected the knee. The inj",https://en.wikipedia.org/wiki/Radamel_Falcao
Radamel Falcao Anterior cruciate ligament rupture 2013-14,INJURY,recoveryDays,157,NUMBER,True,"Radamel Falcao is a professional football player who represented Colombia and played for AS Monaco FC during the 2013-14 season. During the Coupe de France, Radamel Falcao suffered an Anterior cruciate ligament rupture that affected the knee. The inj",https://en.wikipedia.org/wiki/Radamel_Falcao
Radamel Falcao Anterior cruciate ligament rupture 2013-14,INJURY,gamesAbsent,22,NUMBER,True,"Radamel Falcao is a professional football player who represented Colombia and played for AS Monaco FC during the 2013-14 season. During the Coupe de France, Radamel Falcao suffered an Anterior cruciate ligament rupture that affected the knee. The inj",https://en.wikipedia.org/wiki/Radamel_Falcao
Zlatan Ibrahimovic,PERSON,playsFor,Manchester United FC,ORG,True,"Zlatan Ibrahimovic is a professional football player who represented Sweden and played for Manchester United FC during the 2016-17 season. During the UEFA Europa League, Zlatan Ibrahimovic suffered an Anterior cruciate ligament rupture that affected ",https://en.wikipedia.org/wiki/Zlatan_Ibrahimovic
Zlatan Ibrahimovic,PERSON,represents,Sweden,GPE,True,"Zlatan Ibrahimovic is a professional football player who represented Sweden and played for Manchester United FC during the 2016-17 season. During the UEFA Europa League, Zlatan Ibrahimovic suffered an Anterior cruciate ligament rupture that affected ",https://en.wikipedia.org/wiki/Zlatan_Ibrahimovic
Zlatan Ibrahimovic,PERSON,suffersInjury,Zlatan Ibrahimovic Anterior cruciate ligament rupture 2016-17,INJURY,True,"Zlatan Ibrahimovic is a professional football player who represented Sweden and played for Manchester United FC during the 2016-17 season. During the UEFA Europa League, Zlatan Ibrahimovic suffered an Anterior cruciate ligament rupture that affected ",https://en.wikipedia.org/wiki/Zlatan_Ibrahimovic
Zlatan Ibrahimovic Anterior cruciate ligament rupture 2016-17,INJURY,injuryType,ACLRupture,INJURY_TYPE,True,"Zlatan Ibrahimovic is a professional football player who represented Sweden and played for Manchester United FC during the 2016-17 season. During the UEFA Europa League, Zlatan Ibrahimovic suffered an Anterior cruciate ligament rupture that affected ",https://en.wikipedia.org/wiki/Zlatan_Ibrahimovic
Zlatan Ibrahimovic Anterior cruciate ligament rupture 2016-17,INJURY,affectsBodyPart,knee,BODY_PART,True,"Zlatan Ibrahimovic is a professional football player who represented Sweden and played for Manchester United FC during the 2016-17 season. During the UEFA Europa League, Zlatan Ibrahimovic suffered an Anterior cruciate ligament rupture that affected ",https://en.wikipedia.org/wiki/Zlatan_Ibrahimovic
Zlatan Ibrahimovic Anterior cruciate ligament rupture 2016-17,INJURY,occuredDuring,UEFA Europa League,COMPETITION,True,"Zlatan Ibrahimovic is a professional football player who represented Sweden and played for Manchester United FC during the 2016-17 season. During the UEFA Europa League, Zlatan Ibrahimovic suffered an Anterior cruciate ligament rupture that affected ",https://en.wikipedia.org/wiki/Zlatan_Ibrahimovic
Zlatan Ibrahimovic Anterior cruciate ligament rupture 2016-17,INJURY,injuryDate,2017-04-20,DATE,True,"Zlatan Ibrahimovic is a professional football player who represented Sweden and played for Manchester United FC during the 2016-17 season. During the UEFA Europa League, Zlatan Ibrahimovic suffered an Anterior cruciate ligament rupture that affected ",https://en.wikipedia.org/wiki/Zlatan_Ibrahimovic
Zlatan Ibrahimovic Anterior cruciate ligament rupture 2016-17,INJURY,recoveryDays,213,NUMBER,True,"Zlatan Ibrahimovic is a professional football player who represented Sweden and played for Manchester United FC during the 2016-17 season. During the UEFA Europa League, Zlatan Ibrahimovic suffered an Anterior cruciate ligament rupture that affected ",https://en.wikipedia.org/wiki/Zlatan_Ibrahimovic
Zlatan Ibrahimovic Anterior cruciate ligament rupture 2016-17,INJURY,gamesAbsent,31,NUMBER,True,"Zlatan Ibrahimovic is a professional football player who represented Sweden and played for Manchester United FC during the 2016-17 season. During the UEFA Europa League, Zlatan Ibrahimovic suffered an Anterior cruciate ligament rupture that affected ",https://en.wikipedia.org/wiki/Zlatan_Ibrahimovic
Jack Wilshere,PERSON,playsFor,Arsenal FC,ORG,True,"Jack Wilshere is a professional football player who represented England and played for Arsenal FC during the 2015-16 season. During the Premier League, Jack Wilshere suffered an Fibula fracture that affected the fibula. The injury was reported on 201",https://en.wikipedia.org/wiki/Jack_Wilshere
Jack Wilshere,PERSON,represents,England,GPE,True,"Jack Wilshere is a professional football player who represented England and played for Arsenal FC during the 2015-16 season. During the Premier League, Jack Wilshere suffered an Fibula fracture that affected the fibula. The injury was reported on 201",https://en.wikipedia.org/wiki/Jack_Wilshere
Jack Wilshere,PERSON,suffersInjury,Jack Wilshere Fibula fracture 2015-16,INJURY,True,"Jack Wilshere is a professional football player who represented England and played for Arsenal FC during the 2015-16 season. During the Premier League, Jack Wilshere suffered an Fibula fracture that affected the fibula. The injury was reported on 201",https://en.wikipedia.org/wiki/Jack_Wilshere
Jack Wilshere Fibula fracture 2015-16,INJURY,injuryType,Fracture,INJURY_TYPE,True,"Jack Wilshere is a professional football player who represented England and played for Arsenal FC during the 2015-16 season. During the Premier League, Jack Wilshere suffered an Fibula fracture that affected the fibula. The injury was reported on 201",https://en.wikipedia.org/wiki/Jack_Wilshere
Jack Wilshere Fibula fracture 2015-16,INJURY,affectsBodyPart,fibula,BODY_PART,True,"Jack Wilshere is a professional football player who represented England and played for Arsenal FC during the 2015-16 season. During the Premier League, Jack Wilshere suffered an Fibula fracture that affected the fibula. The injury was reported on 201",https://en.wikipedia.org/wiki/Jack_Wilshere
Jack Wilshere Fibula fracture 2015-16,INJURY,occuredDuring,Premier League,COMPETITION,True,"Jack Wilshere is a professional football player who represented England and played for Arsenal FC during the 2015-16 season. During the Premier League, Jack Wilshere suffered an Fibula fracture that affected the fibula. The injury was reported on 201",https://en.wikipedia.org/wiki/Jack_Wilshere
